,序号,客队半场得分,客队球衣颜色,赢球平均欧指数,客队名称,本场比赛序号,主队盘路名称,客队盘路名称,盘路,status,平球平均欧指,主队ID,比赛时间,澳门盘口,输球平均欧指,主队本轮排名,主队名称,客队得分,主队得分,主队半场得分,轮次,客队本轮排名
2995,0,lgreen,2.56,帕尔马,1149,300462,莱  切,帕尔马,走盘,5,3.01,972,2010-09-23 02:45,平手,2.77,15,莱切,1,1,1,4,12
2996,1,lblue,1.64,切沃,1174,300463,那不勒斯,切 沃,输,5,3.41,1125,2010-09-23 02:45,半球/一球,5.49,7,那不勒斯,3,1,1,4,3
2997,1,lblue,1.69,巴勒莫,645,300460,尤文图斯,巴勒莫,输,5,3.49,1330,2010-09-24 02:45,半球/一球,4.88,14,尤文图斯,3,1,0,4,19
2998,0,lred,1.63,热那亚,1179,300470,AC米兰,热那亚,赢半,5,3.49,210,2010-09-25 23:59,半球/一球,5.41,8,AC米兰,0,1,0,5,12
2999,0,lred,3.23,国际米兰,846,300472,罗 马,国际米兰,赢,5,3.13,1032,2010-09-26 02:45,受平手/半球,2.20,19,罗马,0,1,0,5,1
3000,0,lblue,2.86,那不勒斯,1125,300466,切塞纳,那不勒斯,输,5,3.05,461,2010-09-26 18:30,平手,2.46,7,切塞纳,4,1,0,5,11
3001,1,lred,1.91,布雷西亚,727,300464,巴  里,布雷西,赢,5,3.20,648,2010-09-26 21:00,半球,4.07,13,巴里,1,2,1,5,3
3002,1,lblue,1.92,博洛尼亚,707,300465,卡塔尼,博洛尼亚,输,5,3.18,923,2010-09-26 21:00,半球,3.99,5,卡塔尼亚,1,1,0,5,17
3003,0,lblue,2.53,拉齐奥,964,300467,切 沃,拉齐奥,输,5,3.03,1174,2010-09-26 21:00,平手/半球,2.79,2,切沃,1,0,0,5,6
3004,0,lred,1.91,帕尔马,1149,300468,佛罗伦萨,帕尔马,赢,5,3.23,803,2010-09-26 21:00,半球,3.98,18,佛罗伦萨,0,2,0,5,10
3005,1,lblue,1.56,莱切,972,300471,巴勒莫,莱  切,输,5,3.62,645,2010-09-26 21:00,一球,6.10,15,巴勒莫,2,2,0,5,16
3006,0,lblue,1.88,乌迪内斯,1276,300473,桑普多,乌迪内斯,输半,5,3.24,468,2010-09-26 21:00,平手/半球,4.11,9,桑普多利亚,0,0,0,5,20
3007,1,lred,1.62,卡利亚里,917,300469,尤文图斯,卡利亚,赢,5,3.50,1330,2010-09-27 02:45,半球/一球,5.53,18,尤文图斯,2,4,2,5,10
3008,0,lred,1.70,切塞纳,461,300483,乌迪内斯,切塞纳,赢半,5,3.43,1276,2010-10-02 23:59,半球/一球,4.91,20,乌迪内斯,0,1,0,6,10
3009,1,lblue,3.61,AC米兰,210,300482,帕尔马,AC米兰,输,5,3.18,1149,2010-10-03 02:45,受半球,2.03,15,帕尔马,1,0,0,6,5
3010,0,lred,2.41,卡塔尼亚,923,300480,莱  切,卡塔尼,赢,5,3.00,972,2010-10-03 18:30,平手,2.97,18,莱切,0,1,1,6,7
3011,1,lgreen,2.54,桑普多利亚,468,300474,博洛尼亚,桑普多,走盘,5,3.05,707,2010-10-03 21:00,平手,2.74,20,博洛尼亚,1,1,0,6,12
3012,0,lblue,2.24,卡利亚里,917,300475,切 沃,卡利亚,输半,5,3.04,1174,2010-10-03 21:00,平手/半球,3.22,3,切沃,0,0,0,6,11
3013,2,lblue,2.03,巴勒莫,645,300476,佛罗伦萨,巴勒莫,输,5,3.19,803,2010-10-03 21:00,半球,3.60,14,佛罗伦萨,2,1,0,6,13
3014,0,lred,1.91,巴里,648,300477,热那亚,巴  里,赢,5,3.22,1179,2010-10-03 21:00,半球,3.96,16,热那亚,1,2,1,6,8
3015,0,lred,1.65,布雷西亚,727,300479,拉齐奥,布雷西,赢半,5,3.44,964,2010-10-03 21:00,半球/一球,5.28,2,拉齐奥,0,1,1,6,4
3016,0,lred,2.36,罗马,1032,300481,那不勒斯,罗 马,赢,5,3.09,1125,2010-10-03 21:00,平手/半球,2.98,6,那不勒斯,0,2,0,6,17
3017,0,lblue,1.78,尤文图斯,1330,300478,国际米兰,尤文图斯,输,5,3.37,846,2010-10-04 02:45,半球/一球,4.46,4,国际米兰,0,0,0,6,12
3018,0,lred,1.43,切沃,1174,300490,AC米兰,切 沃,赢,5,3.93,210,2010-10-16 23:59,一球/球半,7.64,4,AC米兰,1,3,2,7,5
3019,0,lred,1.88,热那亚,1179,300492,罗 马,热那亚,赢,5,3.24,1032,2010-10-17 02:45,半球,4.08,18,罗马,1,2,1,7,10
3020,1,lblue,3.87,国际米兰,846,300486,卡利亚,国际米兰,输,5,3.15,917,2010-10-17 18:30,受半球,1.96,13,卡利亚里,1,0,0,7,3
3021,0,lblue,2.68,乌迪内斯,1276,300485,布雷西,乌迪内斯,输,5,3.01,727,2010-10-17 21:00,受平手/半球,2.62,6,布雷西亚,1,0,0,7,20
3022,1,lred,2.79,那不勒斯,1125,300487,卡塔尼,那不勒斯,赢半,5,3.01,923,2010-10-17 21:00,受平手/半球,2.53,9,卡塔尼亚,1,1,0,7,4
3023,1,lgreen,2.50,帕尔马,1149,300488,切塞纳,帕尔马,走盘,5,2.98,461,2010-10-17 21:00,平手,2.85,15,切塞纳,1,1,1,7,17
3024,0,lred,1.34,莱切,972,300489,尤文图斯,莱  切,赢,5,4.44,1330,2010-10-17 21:00,球半,8.73,7,尤文图斯,0,4,3,7,12
3025,0,lred,1.61,博洛尼亚,707,300491,巴勒莫,博洛尼亚,赢,5,3.56,645,2010-10-17 21:00,一球,5.47,8,巴勒莫,1,4,2,7,19
3026,1,lred,2.16,佛罗伦萨,803,300493,桑普多,佛罗伦萨,赢,5,3.11,468,2010-10-17 21:00,平手/半球,3.32,14,桑普多利亚,1,2,0,7,16
3027,0,lblue,2.59,拉齐奥,964,300484,巴  里,拉齐奥,输,5,3.01,648,2010-10-18 02:45,平手,2.72,12,巴里,2,0,0,7,3
3028,0,lred,1.73,巴里,648,300496,佛罗伦萨,巴  里,赢,5,3.33,803,2010-10-24 02:45,半球,4.85,19,佛罗伦萨,1,2,1,8,14
3029,0,lgreen,2.87,罗马,1032,300502,帕尔马,罗 马,走盘,5,3.10,1149,2010-10-24 18:30,平手,2.42,18,帕尔马,0,0,0,8,13
3030,0,lred,4.22,尤文图斯,1330,300494,博洛尼亚,尤文图斯,赢,5,3.37,707,2010-10-24 21:00,受半球,1.81,20,博洛尼亚,0,0,0,8,5
3031,1,lred,1.81,切塞纳,461,300495,切 沃,切塞纳,赢半,5,3.21,1174,2010-10-24 21:00,半球/一球,4.52,8,切沃,1,2,1,8,12
3032,0,lred,1.78,卡塔尼亚,923,300497,热那亚,卡塔尼,赢,5,3.28,1179,2010-10-24 21:00,半球,4.58,11,热那亚,0,1,0,8,9
3033,0,lred,1.68,卡利亚里,917,300499,拉齐奥,卡利亚,赢半,5,3.38,964,2010-10-24 21:00,半球/一球,5.08,1,拉齐奥,1,2,1,8,16
3034,1,lred,2.30,布雷西亚,727,300500,莱  切,布雷西,赢,5,2.99,972,2010-10-24 21:00,平手/半球,3.17,15,莱切,1,2,0,8,10
3035,0,lred,2.28,巴勒莫,645,300503,乌迪内斯,巴勒莫,赢,5,3.07,1276,2010-10-24 21:00,平手/半球,3.12,17,乌迪内斯,1,2,1,8,6
3036,0,lblue,1.51,桑普多利亚,468,300498,国际米兰,桑普多,输,5,3.67,846,2010-10-25 02:45,一球,6.55,3,国际米兰,1,1,0,8,10
3037,1,lblue,2.74,AC米兰,210,300501,那不勒斯,AC米兰,输,5,3.03,1125,2010-10-26 02:45,平手,2.56,6,那不勒斯,2,1,0,8,3
3038,1,lblue,3.72,国际米兰,846,300509,热那亚,国际米兰,输,5,3.13,1179,2010-10-30 02:45,受半球,2.02,9,热那亚,1,0,0,9,3
3039,0,lred,1.36,莱切,972,300513,罗 马,莱  切,赢,5,4.33,1032,2010-10-30 23:59,一球/球半,8.23,14,罗马,0,2,0,9,10
3040,1,lblue,1.86,尤文图斯,1330,300510,AC米兰,尤文图斯,输,5,3.26,210,2010-10-31 02:45,半球,4.18,3,AC米兰,2,1,0,9,5
3041,1,lblue,2.25,拉齐奥,964,300511,巴勒莫,拉齐奥,输,5,3.08,645,2010-10-31 19:30,平手/半球,3.18,8,巴勒莫,1,0,0,9,1
3042,1,lblue,2.52,乌迪内斯,1276,300504,巴  里,乌迪内斯,输,5,3.00,648,2010-10-31 22:00,平手,2.81,17,巴里,2,0,0,9,12
3043,0,lblue,3.05,那不勒斯,1125,300505,布雷西,那不勒斯,输,5,3.01,727,2010-10-31 22:00,受平手/半球,2.35,14,布雷西亚,1,0,0,9,6
3044,0,lred,1.86,博洛尼亚,707,300506,卡利亚,博洛尼亚,赢,5,3.23,917,2010-10-31 22:00,半球,4.25,18,卡利亚里,0,2,0,9,20
3045,0,lblue,2.96,桑普多利亚,468,300508,切塞纳,桑普多,输,5,2.98,461,2010-10-31 22:00,受平手/半球,2.42,16,切塞纳,1,0,0,9,9
3046,0,lblue,2.04,切沃,1174,300512,帕尔马,切 沃,输,5,3.11,1149,2010-10-31 22:00,半球,3.65,19,帕尔马,0,0,0,9,4
3047,0,lblue,2.54,佛罗伦萨,803,300507,卡塔尼,佛罗伦萨,输半,5,3.05,923,2010-11-01 03:45,平手/半球,2.75,14,卡塔尼亚,0,0,0,9,16
3048,0,lred,1.90,莱切,972,300515,博洛尼亚,莱  切,赢,5,3.16,707,2010-11-07 01:00,半球,4.13,20,博洛尼亚,0,2,0,10,12
3049,1,lblue,1.25,布雷西亚,727,300517,国际米兰,布雷西,输,5,5.08,846,2010-11-07 03:45,球半,11.43,2,国际米兰,1,1,0,10,16
3050,0,lred,1.74,切沃,1174,300516,佛罗伦萨,切 沃,赢半,5,3.33,803,2010-11-07 19:30,半球/一球,4.76,15,佛罗伦萨,0,1,0,10,7
3051,2,lblue,4.15,AC米兰,210,300514,巴  里,AC米兰,输,5,3.22,648,2010-11-07 22:00,受半球,1.87,19,巴里,3,2,0,10,3
3052,1,lred,1.32,切塞纳,461,300518,尤文图斯,切塞纳,赢,5,4.54,1330,2010-11-07 22:00,一球/球半,9.18,4,尤文图斯,1,3,2,10,18
3053,0,lblue,2.50,罗马,1032,300519,拉齐奥,罗 马,输,5,3.06,964,2010-11-07 22:00,平手,2.80,1,拉齐奥,2,0,0,10,9
3054,0,lred,1.67,帕尔马,1149,300520,那不勒斯,帕尔马,赢,5,3.39,1125,2010-11-07 22:00,半球/一球,5.19,5,那不勒斯,0,2,1,10,17
3055,0,lblue,1.84,卡塔尼亚,923,300522,桑普多,卡塔尼,输,5,3.21,468,2010-11-07 22:00,半球,4.38,6,桑普多利亚,0,0,0,10,14
3056,1,lblue,1.82,卡利亚里,917,300523,乌迪内斯,卡利亚,输,5,3.25,1276,2010-11-07 22:00,半球,4.40,8,乌迪内斯,1,1,1,10,13
3057,0,lred,1.97,热那亚,1179,300521,巴勒莫,热那亚,赢,5,3.17,645,2010-11-08 03:45,半球,3.80,11,巴勒莫,0,1,1,10,14
3058,0,lred,4.04,尤文图斯,1330,300524,布雷西,尤文图斯,赢,5,3.21,727,2010-11-11 03:45,受半球,1.91,16,布雷西亚,1,1,0,11,4
3059,0,lblue,2.57,那不勒斯,1125,300525,卡利亚,那不勒斯,输,5,3.02,917,2010-11-11 03:45,平手,2.72,12,卡利亚里,1,0,0,11,5
3060,0,lred,2.48,乌迪内斯,1276,300526,卡塔尼,乌迪内斯,赢,5,3.01,923,2010-11-11 03:45,平手,2.85,13,卡塔尼亚,0,1,0,11,10
3061,0,lred,3.48,拉齐奥,964,300527,切塞纳,拉齐奥,赢,5,3.07,461,2010-11-11 03:45,受平手/半球,2.12,19,切塞纳,0,1,0,11,1
3062,0,lblue,2.03,巴里,648,300528,切 沃,巴  里,输,5,3.10,1174,2010-11-11 03:45,半球,3.69,9,切沃,0,0,0,11,20
3063,0,lred,1.65,博洛尼亚,707,300529,热那亚,博洛尼亚,赢半,5,3.42,1179,2010-11-11 03:45,半球/一球,5.28,14,热那亚,0,1,0,11,17
3064,0,lred,5.22,国际米兰,846,300530,莱  切,国际米兰,赢,5,3.32,972,2010-11-11 03:45,受半球/一球,1.68,15,莱切,1,1,0,11,3
3065,0,lred,1.54,巴勒莫,645,300531,AC米兰,巴勒莫,赢,5,3.66,210,2010-11-11 03:45,一球,6.16,2,AC米兰,1,3,1,11,8
3066,0,lred,1.78,佛罗伦萨,803,300533,罗 马,佛罗伦萨,赢,5,3.29,1032,2010-11-11 03:45,半球,4.54,7,罗马,2,3,1,11,11
3067,0,lred,2.31,桑普多利亚,468,300532,帕尔马,桑普多,赢,5,3.00,1149,2010-11-12 03:45,平手/半球,3.14,19,帕尔马,0,1,0,11,7
3068,0,lgreen,1.45,切塞纳,461,300537,佛罗伦萨,切塞纳,走盘,5,3.84,803,2010-11-14 01:00,一球,7.29,13,佛罗伦萨,0,1,0,12,18
3069,1,lblue,2.19,罗马,1032,300539,尤文图斯,罗 马,输半,5,3.12,1330,2010-11-14 03:45,平手/半球,3.26,5,尤文图斯,1,1,1,12,6
3070,0,lred,2.22,那不勒斯,1125,300540,拉齐奥,那不勒斯,赢,5,3.05,964,2010-11-14 19:30,平手/半球,3.25,2,拉齐奥,0,2,1,12,3
3071,1,lblue,2.23,帕尔马,1149,300534,巴  里,帕尔马,输,5,3.06,648,2010-11-14 22:00,平手/半球,3.21,19,巴里,1,0,0,12,16
3072,0,lred,2.10,布雷西亚,727,300535,博洛尼亚,布雷西,赢,5,3.06,707,2010-11-14 22:00,平手/半球,3.54,20,博洛尼亚,0,1,0,12,17
3073,0,lblue,2.25,热那亚,1179,300536,卡利亚,热那亚,输,5,3.05,917,2010-11-14 22:00,平手/半球,3.18,15,卡利亚里,1,0,0,12,11
3074,0,lred,1.74,卡塔尼亚,923,300541,巴勒莫,卡塔尼,赢,5,3.33,645,2010-11-14 22:00,半球/一球,4.73,9,巴勒莫,1,3,1,12,10
3075,0,lblue,1.92,切沃,1174,300542,桑普多,切 沃,输,5,3.13,468,2010-11-14 22:00,半球,4.07,7,桑普多利亚,0,0,0,12,8
3076,0,lred,1.54,莱切,972,300543,乌迪内斯,莱  切,赢,5,3.64,1276,2010-11-14 22:00,一球/球半,6.41,12,乌迪内斯,0,4,3,12,14
3077,1,lblue,2.50,AC米兰,210,300538,国际米兰,AC米兰,输,5,3.07,846,2010-11-15 03:45,平手,2.81,5,国际米兰,1,0,0,12,2
3078,0,lred,1.73,乌迪内斯,1276,300553,罗 马,乌迪内斯,赢,5,3.34,1032,2010-11-21 01:00,半球,4.85,6,罗马,0,2,1,13,8
3079,0,lgreen,1.54,佛罗伦萨,803,300550,AC米兰,佛罗伦萨,走盘,5,3.67,210,2010-11-21 03:45,一球,6.05,1,AC米兰,0,1,1,13,12
3080,2,lblue,2.71,尤文图斯,1330,300548,热那亚,尤文图斯,输,5,3.04,1179,2010-11-21 19:30,平手,2.58,9,热那亚,2,0,0,13,4
3081,0,lblue,2.31,卡利亚里,917,300544,布雷西,卡利亚,输,5,3.00,727,2010-11-21 22:00,平手/半球,3.13,18,布雷西亚,2,1,1,13,16
3082,0,lred,1.62,巴里,648,300545,卡塔尼,巴  里,赢半,5,3.46,923,2010-11-21 22:00,半球/一球,5.60,13,卡塔尼亚,0,1,0,13,20
3083,1,lblue,3.29,巴勒莫,645,300546,切塞纳,巴勒莫,输,5,3.09,461,2010-11-21 22:00,受平手/半球,2.19,19,切塞纳,2,1,1,13,7
3084,0,lred,3.86,国际米兰,846,300547,切 沃,国际米兰,赢,5,3.14,1174,2010-11-21 22:00,受半球,1.97,11,切沃,1,2,1,13,5
3085,2,lblue,2.92,桑普多利亚,468,300549,莱  切,桑普多,输,5,3.00,972,2010-11-21 22:00,受平手/半球,2.45,15,莱切,3,2,0,13,10
3086,1,lgreen,2.62,拉齐奥,964,300552,帕尔马,拉齐奥,走盘,5,2.96,1149,2010-11-21 22:00,平手,2.74,14,帕尔马,1,1,1,13,2
3087,0,lred,1.48,博洛尼亚,707,300551,那不勒斯,博洛尼亚,赢,5,3.77,1125,2010-11-22 03:45,一球/球半,7.04,5,那不勒斯,1,4,2,13,17
3088,1,lred,3.50,AC米兰,210,300562,桑普多,AC米兰,赢,5,3.10,468,2010-11-28 01:00,受半球,2.11,8,桑普多利亚,1,1,0,14,1
3089,1,lblue,1.62,佛罗伦萨,803,300559,尤文图斯,佛罗伦萨,输,5,3.52,1330,2010-11-28 03:45,半球/一球,5.48,4,尤文图斯,1,1,0,14,13
3090,2,lred,1.61,帕尔马,1149,300558,国际米兰,帕尔马,赢,5,3.45,846,2010-11-28 19:30,半球/一球,5.83,6,国际米兰,2,5,3,14,14
3091,0,lblue,1.92,切塞纳,461,300554,巴  里,切塞纳,输,5,3.15,648,2010-11-28 22:00,半球,4.02,20,巴里,1,1,0,14,19
3092,0,lred,2.82,热那亚,1179,300556,布雷西,热那亚,赢半,5,2.99,727,2010-11-28 22:00,受平手/半球,2.53,17,布雷西亚,0,0,0,14,12
3093,0,lgreen,1.61,莱切,972,300557,卡利亚,莱  切,走盘,5,3.48,917,2010-11-28 22:00,一球,5.65,15,卡利亚里,2,3,3,14,16
3094,1,lblue,1.60,卡塔尼亚,923,300560,拉齐奥,卡塔尼,输,5,3.46,964,2010-11-28 22:00,半球/一球,5.85,2,拉齐奥,1,1,1,14,10
3095,0,lred,2.41,那不勒斯,1125,300563,乌迪内斯,那不勒斯,赢,5,3.04,1276,2010-11-28 22:00,平手/半球,2.92,11,乌迪内斯,1,3,2,14,3
3096,0,lred,2.44,罗马,1032,300561,巴勒莫,罗 马,赢,5,3.11,645,2010-11-29 03:45,平手/半球,2.84,7,巴勒莫,1,3,1,14,6
3097,0,lred,2.58,切沃,1174,300555,博洛尼亚,切 沃,赢,5,2.93,707,2010-12-08 22:00,平手,2.80,16,博洛尼亚,1,2,1,14,10
3098,0,lred,2.64,国际米兰,846,300568,拉齐奥,国际米兰,赢,5,3.02,964,2010-12-04 03:45,平手,2.67,2,拉齐奥,1,3,1,15,5
3099,2,lgreen,2.91,罗马,1032,300566,切 沃,罗 马,走盘,5,3.06,1174,2010-12-05 01:00,平手,2.40,10,切沃,2,2,0,15,7
3100,0,lred,1.24,布雷西亚,727,300570,AC米兰,布雷西,赢,5,5.29,210,2010-12-05 03:45,球半,11.40,1,AC米兰,0,3,3,15,16
3101,1,lblue,2.16,博洛尼亚,707,300565,切塞纳,博洛尼亚,输,5,3.02,461,2010-12-05 22:00,平手/半球,3.43,17,切塞纳,2,0,0,15,19
3102,0,lred,1.85,卡利亚里,917,300567,佛罗伦萨,卡利亚,赢,5,3.20,803,2010-12-05 22:00,半球,4.30,14,佛罗伦萨,0,1,0,15,13
3103,0,lblue,3.33,热那亚,1179,300569,莱  切,热那亚,输,5,3.10,972,2010-12-05 22:00,受平手/半球,2.15,18,莱切,3,1,1,15,12
3104,1,lred,2.46,乌迪内斯,1276,300572,帕尔马,乌迪内斯,赢,5,3.00,1149,2010-12-05 22:00,平手,2.88,15,帕尔马,1,2,1,15,9
3105,0,lred,1.67,巴里,648,300573,桑普多,巴  里,赢,5,3.34,468,2010-12-05 22:00,半球/一球,5.36,8,桑普多利亚,0,3,1,15,20
3106,2,lblue,3.32,尤文图斯,1330,300564,卡塔尼,尤文图斯,输,5,3.07,923,2010-12-06 03:45,受平手/半球,2.18,13,卡塔尼亚,3,1,1,15,3
3107,0,lred,1.95,巴勒莫,645,300571,那不勒斯,巴勒莫,赢,5,3.20,1125,2010-12-07 03:45,半球,3.90,4,那不勒斯,0,1,0,15,5
3108,1,lred,1.67,帕尔马,1149,300581,巴勒莫,帕尔马,赢,5,3.45,645,2010-12-12 01:00,半球/一球,5.05,7,巴勒莫,1,3,0,16,14
3109,1,lred,2.03,佛罗伦萨,803,300583,乌迪内斯,佛罗伦萨,赢,5,3.13,1276,2010-12-12 01:00,半球,3.61,11,乌迪内斯,1,2,0,16,12
3110,1,lblue,2.32,那不勒斯,1125,300577,热那亚,那不勒斯,输,5,3.05,1179,2010-12-12 03:45,平手/半球,3.03,9,热那亚,1,0,0,16,4
3111,2,lblue,6.02,AC米兰,210,300574,博洛尼亚,AC米兰,输,5,3.60,707,2010-12-12 19:30,受半球/一球,1.56,16,博洛尼亚,3,0,0,16,1
3112,0,lred,2.79,桑普多利亚,468,300575,布雷西,桑普多,赢,5,3.01,727,2010-12-12 22:00,平手,2.53,17,布雷西亚,0,1,1,16,6
3113,0,lred,2.05,卡塔尼亚,923,300576,卡利亚,卡塔尼,赢,5,3.04,917,2010-12-12 22:00,半球,3.66,15,卡利亚里,0,3,2,16,13
3114,0,lred,2.83,切沃,1174,300580,莱  切,切 沃,赢,5,3.01,972,2010-12-12 22:00,受平手/半球,2.49,19,莱切,2,3,2,16,10
3115,0,lblue,1.33,巴里,648,300582,罗 马,巴  里,输,5,4.53,1032,2010-12-12 22:00,球半,8.83,8,罗马,0,1,1,16,20
3116,1,lred,1.83,拉齐奥,964,300579,尤文图斯,拉齐奥,赢,5,3.25,1330,2010-12-13 03:45,半球,4.27,4,尤文图斯,1,2,1,16,3
3117,2,lblue,1.21,切塞纳,461,300578,国际米兰,切塞纳,输,5,5.64,846,2011-01-20 03:45,球半,12.84,6,国际米兰,2,3,3,16,17
3118,0,lred,2.61,卡利亚里,917,300586,切塞纳,卡利亚,赢,5,2.95,461,2010-12-19 01:00,平手/半球,2.76,19,切塞纳,0,1,1,17,11
3119,0,lblue,1.67,罗马,1032,300590,AC米兰,罗 马,输,5,3.47,210,2010-12-19 03:45,一球,5.12,1,AC米兰,1,0,0,17,6
3120,0,lred,1.98,乌迪内斯,1276,300589,拉齐奥,乌迪内斯,赢,5,3.16,964,2010-12-19 19:30,半球,3.83,4,拉齐奥,2,3,1,17,9
3121,1,lred,3.30,巴勒莫,645,300584,巴  里,巴勒莫,赢半,5,3.10,648,2010-12-19 22:00,受平手/半球,2.17,20,巴里,1,1,0,17,5
3122,0,lred,1.87,布雷西亚,727,300585,卡塔尼,布雷西,赢,5,3.16,923,2010-12-19 22:00,半球,4.26,14,卡塔尼亚,0,1,1,17,17
3123,1,lred,3.54,尤文图斯,1330,300587,切 沃,尤文图斯,赢半,5,3.10,1174,2010-12-19 22:00,受平手/半球,2.09,12,切沃,1,1,0,17,2
3124,0,lblue,1.34,莱切,972,300591,那不勒斯,莱  切,输半,5,4.50,1125,2010-12-19 22:00,一球/球半,8.80,3,那不勒斯,0,1,0,17,18
3125,0,lblue,1.78,博洛尼亚,707,300592,帕尔马,博洛尼亚,输,5,3.25,1149,2010-12-19 22:00,半球/一球,4.67,15,帕尔马,0,0,0,17,16
3126,1,lblue,3.11,国际米兰,846,300588,佛罗伦萨,国际米兰,输,5,3.12,803,2011-02-17 01:30,受平手/半球,2.26,10,佛罗伦萨,2,1,1,17,4
3127,0,lblue,2.63,热那亚,1179,300593,桑普多,热那亚,输,5,2.90,468,2011-02-17 01:30,平手,2.79,12,桑普多利亚,1,0,0,17,13
3128,1,lblue,1.45,帕尔马,1149,300599,尤文图斯,帕尔马,输,5,3.91,1330,2011-01-06 19:30,一球,7.45,4,尤文图斯,4,1,0,18,15
3129,0,lgreen,2.69,佛罗伦萨,803,300594,博洛尼亚,佛罗伦萨,走盘,5,3.05,707,2011-01-06 22:00,平手,2.63,16,博洛尼亚,1,1,1,18,14
3130,2,lblue,1.94,切塞纳,461,300595,布雷西,切塞纳,输,5,3.13,727,2011-01-06 22:00,半球,4.07,17,布雷西亚,2,1,0,18,18
3131,0,lblue,3.64,AC米兰,210,300596,卡利亚,AC米兰,输,5,3.14,917,2011-01-06 22:00,受平手/半球,2.06,13,卡利亚里,1,0,0,18,1
3132,0,lblue,2.35,拉齐奥,964,300597,热那亚,拉齐奥,输半,5,3.05,1179,2011-01-06 22:00,平手/半球,3.06,11,热那亚,0,0,0,18,3
3133,0,lblue,2.28,巴里,648,300600,莱  切,巴  里,输,5,3.06,972,2011-01-06 22:00,平手/半球,3.15,19,莱切,1,0,0,18,20
3134,0,lred,1.81,桑普多利亚,468,300601,巴勒莫,桑普多,赢,5,3.34,645,2011-01-06 22:00,半球,4.39,6,巴勒莫,0,3,1,18,8
3135,2,lred,1.44,卡塔尼亚,923,300602,罗 马,卡塔尼,赢,5,3.96,1032,2011-01-06 22:00,一球,7.55,5,罗马,2,4,1,18,12
3136,0,lred,1.75,切沃,1174,300603,乌迪内斯,切 沃,赢,5,3.32,1276,2011-01-06 22:00,半球/一球,4.83,9,乌迪内斯,0,2,2,18,10
3137,1,lred,1.81,那不勒斯,1125,300598,国际米兰,那不勒斯,赢,5,3.29,846,2011-01-07 03:45,半球,4.43,8,国际米兰,1,3,2,18,3
3138,1,lred,2.91,罗马,1032,300613,桑普多,罗 马,赢,5,3.07,468,2011-01-09 19:30,受平手/半球,2.42,9,桑普多利亚,1,2,0,19,4
3139,1,lblue,2.12,博洛尼亚,707,300604,巴  里,博洛尼亚,输,5,3.07,648,2011-01-09 22:00,平手/半球,3.49,20,巴里,2,0,0,19,16
3140,0,lblue,4.20,国际米兰,846,300605,卡塔尼,国际米兰,输,5,3.22,923,2011-01-09 22:00,受半球,1.87,13,卡塔尼亚,2,1,0,19,7
3141,0,lgreen,2.91,热那亚,1179,300606,切塞纳,热那亚,走盘,5,3.00,461,2011-01-09 22:00,平手,2.46,17,切塞纳,0,0,0,19,10
3142,0,lgreen,2.56,巴勒莫,645,300607,切 沃,巴勒莫,走盘,5,3.08,1174,2011-01-09 22:00,平手,2.72,12,切沃,0,0,0,19,6
3143,2,lred,1.52,布雷西亚,727,300608,佛罗伦萨,布雷西,赢半,5,3.66,803,2011-01-09 22:00,半球/一球,6.55,15,佛罗伦萨,2,3,0,19,18
3144,1,lblue,1.36,莱切,972,300609,拉齐奥,莱  切,输,5,4.35,964,2011-01-09 22:00,一球/球半,8.54,2,拉齐奥,2,1,0,19,19
3145,1,lblue,1.53,乌迪内斯,1276,300610,AC米兰,乌迪内斯,输,5,3.69,210,2011-01-09 22:00,半球/一球,6.32,1,AC米兰,4,4,1,19,8
3146,2,lblue,1.94,卡利亚里,917,300612,帕尔马,卡利亚,输,5,3.15,1149,2011-01-09 22:00,半球,4.00,11,帕尔马,2,1,0,19,14
3147,0,lred,2.15,尤文图斯,1330,300611,那不勒斯,尤文图斯,赢,5,3.16,1125,2011-01-10 03:45,平手/半球,3.32,3,那不勒斯,0,3,2,19,5
3148,0,lblue,1.68,佛罗伦萨,803,300617,那不勒斯,佛罗伦萨,输,5,3.44,1125,2011-01-16 01:00,半球/一球,5.08,2,那不勒斯,0,0,0,20,11
3149,0,lred,1.27,博洛尼亚,707,300615,国际米兰,博洛尼亚,赢,5,4.97,846,2011-01-16 03:45,球半,11.07,7,国际米兰,1,4,2,20,15
3150,0,lred,2.43,巴勒莫,645,300618,卡利亚,巴勒莫,赢,5,3.08,917,2011-01-16 19:30,平手/半球,2.89,10,卡利亚里,1,3,1,20,5
3151,0,lgreen,1.39,巴里,648,300614,尤文图斯,巴  里,走盘,5,4.19,1330,2011-01-16 22:00,一球,7.87,6,尤文图斯,1,2,1,20,20
3152,0,lblue,1.98,切沃,1174,300616,卡塔尼,切 沃,输,5,3.09,923,2011-01-16 22:00,半球,3.94,16,卡塔尼亚,1,1,1,20,13
3153,0,lblue,4.05,罗马,1032,300619,切塞纳,罗 马,输,5,3.26,461,2011-01-16 22:00,受半球,1.89,17,切塞纳,1,0,0,20,4
3154,0,lred,1.76,桑普多利亚,468,300620,拉齐奥,桑普多,赢,5,3.26,964,2011-01-16 22:00,半球,4.78,3,拉齐奥,0,1,0,20,9
